"","AminoAcid","comparisons","T","P.adjusted"
"Phe.1","Phe","High-18 - Moderate",-2.19445336488902,0.015891130846285
"Phe.2","Phe","High-18 - Standard_6",-4.97021967905009,7.72149390558555e-06
"Phe.3","Phe","Moderate - Standard_6",-3.13443623934534,0.00193798102701156
"Val.1","Val","High-18 - Moderate",-0.649611269005593,0.259116240894524
"Val.2","Val","High-18 - Standard_6",-3.09253592717478,0.00438476454062165
"Val.3","Val","Moderate - Standard_6",-2.74734601161808,0.00582442581794043
"Leu.1","Leu","High-18 - Moderate",0.0643602511595331,0.474440453052462
"Leu.2","Leu","High-18 - Standard_6",-2.23032310027274,0.0218885102007684
"Leu.3","Leu","Moderate - Standard_6",-2.5747160373536,0.0184771401389676
"Thr.1","Thr","High-18 - Moderate",-3.57589808229946,0.000997238059690996
"Thr.2","Thr","High-18 - Standard_6",-1.2836483683983,0.101911165026335
"Thr.3","Thr","Moderate - Standard_6",2.54118871894144,0.0100823487836432
"Total.EAA.1","Total.EAA","High-18 - Moderate",-3.05942756007657,0.00483020904695632
"Total.EAA.2","Total.EAA","High-18 - Standard_6",-2.13589452386862,0.027344737855914
"Total.EAA.3","Total.EAA","Moderate - Standard_6",1.0096328638882,0.158207473755901
"Arg.1","Arg","High-18 - Moderate",1.77271522062037,0.0404807236235971
"Arg.2","Arg","High-18 - Standard_6",5.17461063117352,3.57883041658423e-06
"Arg.3","Arg","Moderate - Standard_6",3.83343065446346,0.000215795788343242
"Cys.1","Cys","High-18 - Moderate",-3.72553847171123,0.000307675149209985
"Cys.2","Cys","High-18 - Standard_6",0.568754074332386,0.285741505557754
"Cys.3","Cys","Moderate - Standard_6",4.78673183616246,1.5243341501684e-05
"Gly.1","Gly","High-18 - Moderate",-3.93388717869135,0.000308717994241658
"Gly.2","Gly","High-18 - Standard_6",-2.10892838432517,0.0291062262473455
"Gly.3","Gly","Moderate - Standard_6",2.01361725054409,0.0240966808840599
"Pro.1","Pro","High-18 - Moderate",-1.12417239125628,0.132537210748999
"Pro.2","Pro","High-18 - Standard_6",-2.79814379173022,0.0101341861579838
"Pro.3","Pro","Moderate - Standard_6",-1.88852595097528,0.0475642878115779
"Asn.1","Asn","High-18 - Moderate",-2.00547530079689,0.0246060066978497
"Asn.2","Asn","High-18 - Standard_6",2.69649638499274,0.00673301291727854
"Asn.3","Asn","Moderate - Standard_6",5.19817338734799,3.47488948511052e-06
"Asp.1","Asp","High-18 - Moderate",-0.364130936023047,0.358471042025796
"Asp.2","Asp","High-18 - Standard_6",-3.74758181185557,0.000286292915677145
"Asp.3","Asp","Moderate - Standard_6",-3.8003774497121,0.000481410950570292
"Ser.1","Ser","High-18 - Moderate",-3.15320345093162,0.00366646200149699
"Ser.2","Ser","High-18 - Standard_6",-1.37362619170561,0.0871384653530728
"Ser.3","Ser","Moderate - Standard_6",1.96953297241872,0.039867395658652
"Tau.1","Tau","High-18 - Moderate",-0.93540724999974,0.176547325416138
"Tau.2","Tau","High-18 - Standard_6",3.62396628483903,0.000431513134632303
"Tau.3","Tau","Moderate - Standard_6",5.0674603665646,5.51205948755014e-06
"Orn.1","Orn","High-18 - Moderate",-0.0343090653644179,0.486367919250304
"Orn.2","Orn","High-18 - Standard_6",3.65376272447248,0.000388376932592167
"Orn.3","Orn","Moderate - Standard_6",4.13875353155614,0.00015377732800638
"Cit.1","Cit","High-18 - Moderate",-2.75968448000388,0.0113499807329418
"Cit.2","Cit","High-18 - Standard_6",-2.38170764481001,0.0151990021868366
"Cit.3","Cit","Moderate - Standard_6",0.441281076464889,0.330260167011181
