"","chi2","T","P","P.adjusted","comparisons","AminoAcid"
"Phe.1",18.9694615483159,-2.19445336488902,0.015891130846285,0.015891130846285,"High-18 - Moderate","Phe"
"Phe.2",18.9694615483159,-4.97021967905009,2.57383130186185e-06,7.72149390558555e-06,"High-18 - Standard_6","Phe"
"Phe.3",18.9694615483159,-3.13443623934534,0.00129198735134104,0.00193798102701156,"Moderate - Standard_6","Phe"
"Val.1",10.3199701136681,-0.649611269005593,0.259116240894524,0.259116240894524,"High-18 - Moderate","Val"
"Val.2",10.3199701136681,-3.09253592717478,0.00146158818020722,0.00438476454062165,"High-18 - Standard_6","Val"
"Val.3",10.3199701136681,-2.74734601161808,0.00388295054529362,0.00582442581794043,"Moderate - Standard_6","Val"
"Leu.1",7.38075154677698,0.0643602511595331,0.474440453052462,0.474440453052462,"High-18 - Moderate","Leu"
"Leu.2",7.38075154677698,-2.23032310027274,0.0145923401338456,0.0218885102007684,"High-18 - Standard_6","Leu"
"Leu.3",7.38075154677698,-2.5747160373536,0.00615904671298921,0.0184771401389676,"Moderate - Standard_6","Leu"
"Thr.1",11.8363301354564,-3.57589808229946,0.000332412686563665,0.000997238059690996,"High-18 - Moderate","Thr"
"Thr.2",11.8363301354564,-1.2836483683983,0.101911165026335,0.101911165026335,"High-18 - Standard_6","Thr"
"Thr.3",11.8363301354564,2.54118871894144,0.00672156585576212,0.0100823487836432,"Moderate - Standard_6","Thr"
"Total.EAA.1",8.54451683411305,-3.05942756007657,0.00161006968231877,0.00483020904695632,"High-18 - Moderate","Total.EAA"
"Total.EAA.2",8.54451683411305,-2.13589452386862,0.018229825237276,0.027344737855914,"High-18 - Standard_6","Total.EAA"
"Total.EAA.3",8.54451683411305,1.0096328638882,0.158207473755901,0.158207473755901,"Moderate - Standard_6","Total.EAA"
"Arg.1",20.9382819151331,1.77271522062037,0.0404807236235971,0.0404807236235971,"High-18 - Moderate","Arg"
"Arg.2",20.9382819151331,5.17461063117352,1.19294347219474e-06,3.57883041658423e-06,"High-18 - Standard_6","Arg"
"Arg.3",20.9382819151331,3.83343065446346,0.000143863858895494,0.000215795788343242,"Moderate - Standard_6","Arg"
"Cys.1",19.2274972515948,-3.72553847171123,0.00020511676613999,0.000307675149209985,"High-18 - Moderate","Cys"
"Cys.2",19.2274972515948,0.568754074332386,0.285741505557754,0.285741505557754,"High-18 - Standard_6","Cys"
"Cys.3",19.2274972515948,4.78673183616246,5.08111383389467e-06,1.5243341501684e-05,"Moderate - Standard_6","Cys"
"Gly.1",12.9502950034825,-3.93388717869135,0.000102905998080553,0.000308717994241658,"High-18 - Moderate","Gly"
"Gly.2",12.9502950034825,-2.10892838432517,0.0194041508315637,0.0291062262473455,"High-18 - Standard_6","Gly"
"Gly.3",12.9502950034825,2.01361725054409,0.0240966808840599,0.0240966808840599,"Moderate - Standard_6","Gly"
"Pro.1",7.59471611597196,-1.12417239125628,0.132537210748999,0.132537210748999,"High-18 - Moderate","Pro"
"Pro.2",7.59471611597196,-2.79814379173022,0.00337806205266125,0.0101341861579838,"High-18 - Standard_6","Pro"
"Pro.3",7.59471611597196,-1.88852595097528,0.0317095252077186,0.0475642878115779,"Moderate - Standard_6","Pro"
"Asn.1",19.5445071465148,-2.00547530079689,0.0246060066978497,0.0246060066978497,"High-18 - Moderate","Asn"
"Asn.2",19.5445071465148,2.69649638499274,0.0044886752781857,0.00673301291727854,"High-18 - Standard_6","Asn"
"Asn.3",19.5445071465148,5.19817338734799,1.15829649503684e-06,3.47488948511052e-06,"Moderate - Standard_6","Asn"
"Asp.1",15.5166527974008,-0.364130936023047,0.358471042025796,0.358471042025796,"High-18 - Moderate","Asp"
"Asp.2",15.5166527974008,-3.74758181185557,0.000190861943784763,0.000286292915677145,"High-18 - Standard_6","Asp"
"Asp.3",15.5166527974008,-3.8003774497121,0.000160470316856764,0.000481410950570292,"Moderate - Standard_6","Asp"
"Ser.1",9.21224961735519,-3.15320345093162,0.001222154000499,0.00366646200149699,"High-18 - Moderate","Ser"
"Ser.2",9.21224961735519,-1.37362619170561,0.0871384653530728,0.0871384653530728,"High-18 - Standard_6","Ser"
"Ser.3",9.21224961735519,1.96953297241872,0.0265782637724347,0.039867395658652,"Moderate - Standard_6","Ser"
"Tau.1",20.0593705251962,-0.93540724999974,0.176547325416138,0.176547325416138,"High-18 - Moderate","Tau"
"Tau.2",20.0593705251962,3.62396628483903,0.000287675423088202,0.000431513134632303,"High-18 - Standard_6","Tau"
"Tau.3",20.0593705251962,5.0674603665646,1.83735316251671e-06,5.51205948755014e-06,"Moderate - Standard_6","Tau"
"Orn.1",16.4153330651548,-0.0343090653644179,0.486367919250304,0.486367919250304,"High-18 - Moderate","Orn"
"Orn.2",16.4153330651548,3.65376272447248,0.000258917955061445,0.000388376932592167,"High-18 - Standard_6","Orn"
"Orn.3",16.4153330651548,4.13875353155614,5.12591093354601e-05,0.00015377732800638,"Moderate - Standard_6","Orn"
"Cit.1",7.71559771760314,-2.75968448000388,0.00378332691098061,0.0113499807329418,"High-18 - Moderate","Cit"
"Cit.2",7.71559771760314,-2.38170764481001,0.0101326681245577,0.0151990021868366,"High-18 - Standard_6","Cit"
"Cit.3",7.71559771760314,0.441281076464889,0.330260167011181,0.330260167011181,"Moderate - Standard_6","Cit"
