"","aminoacid","pvalue","Padj","medianControl","medianInterv","IQR_Control","IQR_Interv"
"1","Phe",0.723347603094065,0.939554399647431,88.5,85,31.75,30
"2","Val",0.625536507199207,0.939554399647431,180,179.5,44,63.5
"3","Leu",0.826133876868093,0.939554399647431,145,145.5,25.75,39.75
"4","Iso",0.864314265518413,0.939554399647431,50.5,51.5,18.25,14.25
"5","Lys",0.696178772358901,0.939554399647431,212.5,206,102.5,77.25
"6","Met",0.835548332165563,0.939554399647431,27.5,28,17.5,12.25
"7","Thr",0.0128172059811574,0.064086029905787,325,267.5,250.75,85
"8","His",0.922236005294865,0.960662505515485,85.5,90,29.5,40.5
"9","Try",0.641688180903766,0.939554399647431,24.5,24,18.5,16
"10","Total.EAA",0.148020301857788,0.528643935206387,1220,1072,397.25,361.5
"11","Tyr",0.788317909186007,0.939554399647431,79,74,111,65
"12","Gln",0.66053799305895,0.939554399647431,442.5,467.5,168.25,191.5
"13","Arg",0.00780791374477762,0.064086029905787,19.5,40,24.5,28.75
"14","Cys",0.651436229176332,0.939554399647431,16.5,14.5,12,16.5
"15","Gly",0.341264240909704,0.939554399647431,351,327.5,172,136.5
"16","Pro",0.0594950706117085,0.247896127548786,339,276,118.75,101
"17","Glu",0.608369897085895,0.939554399647431,121,137.5,76.5,64
"18","Asn",0.495367265391172,0.939554399647431,24,27,13.5,11.5
"19","Asp",4.90379182663773e-08,1.22594795665943e-06,212.5,30.5,102.5,13.5
"20","Ala",0.970802817784223,0.970802817784223,389.5,320,153,182.5
"21","Ser",0.864390047675637,0.939554399647431,225,213.5,114.25,116.25
"22","Tau",0.366579779940717,0.939554399647431,57,77.5,43.5,80.25
"23","Orn",0.000530362298746702,0.00662952873433378,91,165.5,51.75,114.5
"24","Cit",0.498130274195311,0.939554399647431,14.5,14,6.75,4.25
"25","Ammonia",0.0106894889914551,0.064086029905787,52.5,41,19.75,7.75
